date	state	new_confirmed	new_deceased	new_recovered	new_tested	total_confirmed	total_deceased	total_recovered	total_tested
2020-04-06	AK	72	2	56	2507	1798	62	379	62376
2020-04-06	ND	106	6	53	3568	1967	44	753	66064
2020-04-06	MI	8361	876	391	26718	156933	8646	1699	623050
2020-04-06	KY	991	54	143	7099	11771	611	1999	162369
2020-04-06	OR	452	24	0	9320	9670	319	0	186928
2020-04-06	ME	199	9	115	5719	4149	116	1606	52285
2020-04-06	VI	7	0	7	90	345	7	286	2429
2020-04-06	OK	743	47	343	20110	12377	601	5369	137358
2020-04-06	PA	11220	393	0	45938	138527	2936	0	783272
2020-04-06	MN	664	40	332	10194	9498	384	4681	257197
2020-04-06	PR	390	24	0	3206	5189	250	0	49302
2020-04-06	OH	2525	132	0	16734	41155	1578	0	407563
2020-04-06	MD	4891	170	419	22134	47908	1244	2916	304819
2020-04-06	RI	1894	46	100	12795	14411	349	345	122906
2020-04-06	MS	1204	47	0	10614	17012	571	0	156846
2020-04-06	NY	64584	6849	10521	157546	1200228	70924	139288	2895583
2020-04-06	SC	1207	39	0	12449	20791	502	0	196807
2020-04-06	NV	1065	56	0	7835	18097	646	0	157387
2020-04-06	MP	3	1	0	16	74	14	0	305
2020-04-06	AR	548	14	289	7959	8405	163	2048	119343
2020-04-06	LA	6149	372	0	38925	132475	5221	0	644311
2020-04-06	NM	659	19	165	11379	7502	142	1487	181280
2020-04-06	WA	2162	142	0	26365	68466	3312	0	886399
2020-04-06	SD	579	2	116	2982	3918	42	1175	53373
2020-04-06	VA	2869	95	0	17353	31621	779	0	249819
2020-04-06	NJ	23494	1438	0	40437	382053	13344	682	792502
2020-04-06	MA	13030	584	0	45835	147109	4177	0	714365
2020-04-06	AZ	1236	55	0	10813	22067	694	0	268837
2020-04-06	MO	1666	80	0	15593	26274	733	0	279113
2020-04-06	WY	160	1	86	2035	2154	1	727	34090
2020-04-06	HI	117	4	225	5318	3227	50	1460	114934
2020-04-06	GA	5567	185	0	25747	79593	2904	0	322921
2020-04-06	DE	981	27	142	4572	10219	234	1233	73323
2020-04-06	DC	847	45	200	3461	12289	313	3145	69259
2020-04-06	GU	453	2	33	285	3918	32	306	5405
2020-04-06	IL	9763	491	0	42826	124993	4198	0	610834
2020-04-06	CO	2519	158	0	11761	45683	1723	0	221881
2020-04-06	ID	329	20	0	3886	9627	170	0	91722
2020-04-06	CT	6475	396	0	17623	73810	3090	0	253222
2020-04-06	WV	291	5	22	6715	3803	41	294	101386
2020-04-06	CA	7973	339	0	71651	148218	4128	0	1254585
2020-04-06	IA	764	19	457	7097	9658	230	3754	111030
2020-04-06	AS	0	0	0	-2	0	0	0	33
2020-04-06	FL	7390	245	0	73580	125052	2808	0	1158609
2020-04-13	ID	237	15	195	2564	11465	301	1948	115239
2020-04-13	TN	1511	42	1904	24494	44460	1001	20121	620422
2020-04-13	HI	76	1	104	5331	3837	65	2595	151768
2020-04-13	NY	53635	5414	15198	155504	1620450	114426	229924	3996905
2020-04-13	MI	6439	863	2790	32122	207809	15168	11861	829311
2020-04-13	NC	1976	96	0	16096	40834	1088	0	511231
2020-04-13	KY	1002	49	567	6706	18173	959	6427	207844
2020-04-13	WA	1708	136	0	25566	80145	4249	0	1062558
2020-04-13	NV	794	49	0	6883	24360	1036	0	207225
2020-04-13	CA	9528	498	0	86418	206640	7229	0	1808974
2020-04-13	AK	44	0	76	3403	2185	63	903	82842
2020-04-13	AS	0	0	0	17	0	0	0	140
2020-04-13	LA	3507	444	0	28020	161150	8376	0	908381
2020-04-13	MT	39	5	72	1953	2932	61	1577	71515
2020-04-13	OH	5944	235	0	25727	67335	2923	0	549498
2020-04-13	MD	4814	320	314	19646	81081	3332	5288	435006
2020-04-13	IA	1465	35	494	7124	16970	449	7144	154538
2020-04-13	CT	6434	729	0	18497	116764	7090	0	381049
2020-04-13	MO	1419	65	0	10585	36966	1260	0	363036
2020-04-13	SC	1000	37	-570	9055	28288	792	7329	259415
2020-04-13	PA	9710	803	0	33160	209569	7347	0	1035829
2020-04-13	CO	2415	140	0	8661	63212	2725	0	294793
2020-04-13	OR	372	22	0	8924	12527	468	0	253639
2020-04-13	VI	3	2	5	250	366	16	322	3444
2020-04-13	GU	92	0	54	221	5481	42	656	7272
2020-04-13	MP	3	0	2	18	95	14	29	385
2020-04-13	MA	12776	965	0	55168	238756	9789	0	1063307
2020-04-13	SD	818	1	502	3324	9738	47	3327	76818
2020-04-13	OK	611	45	749	12787	17118	921	9450	228754
2020-04-13	AR	496	12	358	5749	11941	259	4230	164037
2020-04-13	VA	3243	151	603	15329	52636	1630	7353	349226
2020-04-13	MN	820	73	287	9365	14526	769	6646	324162
2020-04-13	DC	1040	45	118	3655	18507	643	4151	92340
2020-04-13	MS	1570	71	0	20450	26624	982	0	282292
2020-04-13	GA	5322	288	0	27307	113878	4477	0	503977
2020-04-13	WY	53	1	95	1422	2819	13	1231	46336
2020-04-13	IN	3484	252	0	20100	71297	4073	0	382967
2020-04-13	NE	776	14	0	4708	8701	180	0	92416
2020-04-13	AZ	1362	69	906	11153	31221	1159	4321	344569
2020-04-13	IL	9483	559	0	42590	192174	7992	0	909377
2020-04-13	DE	1168	42	282	3597	17323	486	2816	98534
2020-04-13	AL	1273	60	0	16718	31874	996	0	275583
2020-04-13	NM	626	27	192	6527	11813	333	2684	241989
2020-04-13	VT	68	10	0	2455	5489	234	105	80402
2020-04-13	WI	1071	76	0	11071	28240	1423	0	331953
2020-04-13	ME	177	16	141	2645	5716	201	2471	101780
2020-04-13	PR	349	-3	0	3482	7591	353	0	71869
2020-04-13	KS	646	38	0	4897	12017	590	0	116405
2020-04-13	UT	845	10	558	22524	19695	163	3256	391349
2020-04-13	FL	6039	324	0	69333	171063	4917	0	1647108
2020-04-13	TX	5552	208	3437	57168	120583	2928	29443	1175703
2020-04-13	NJ	24222	1934	0	48588	549165	25968	0	1104355
2020-04-13	RI	2114	82	132	13708	29082	832	1409	214109
2020-04-13	ND	296	4	62	3966	3278	68	1176	87619
2020-04-13	WV	270	17	205	5500	5560	115	1614	133307
2020-04-13	NH	427	19	282	3084	8909	251	2936	90273
2020-04-20	OR	398	17	0	11153	15283	595	0	319320
2020-04-20	AR	1098	9	238	13904	19042	328	6439	242301
2020-04-20	MI	6528	940	5105	53794	252552	21565	37974	1145216
2020-04-20	IN	4353	266	0	19837	97724	5914	0	530285
2020-04-20	OK	600	54	553	17525	21564	1286	13705	341832
2020-04-20	SD	561	4	607	4049	14215	68	7811	103395
2020-04-20	MO	1364	95	0	15093	46018	1830	0	448005
2020-04-20	VA	4545	158	519	24018	81356	2804	11529	487801
2020-04-20	PA	9723	580	0	40470	278842	12508	0	1299014
2020-04-20	MP	0	0	0	0	98	14	77	455
2020-04-20	FL	5080	265	0	90233	210808	7037	0	2222151
2020-04-20	WI	1582	50	0	16483	37552	1830	0	427042
2020-04-20	MA	16819	1194	0	67425	345883	17691	0	1501675
2020-04-20	NJ	22382	1667	0	49718	716186	38646	0	1447200
2020-04-20	SC	1174	53	1638	10281	35712	1099	23117	323850
2020-04-20	UT	1023	13	865	31884	26464	263	8768	600245
2020-04-20	IA	2693	48	786	12330	32270	733	11461	225684
2020-04-20	GU	302	0	16	444	6846	42	869	9620
2020-04-20	CO	3698	257	64	17079	85053	4292	6386	378993
2020-04-20	IL	14375	633	0	79270	276323	12375	0	1326488
2020-04-20	RI	2618	78	185	15419	46572	1417	2644	319670
2020-04-20	NH	491	18	258	5578	12064	374	4302	120779
2020-04-20	VI	5	1	3	155	392	24	347	5056
2020-04-20	AZ	1652	86	263	12043	42046	1803	9161	425026
2020-04-20	VT	39	9	0	2190	5842	299	0	95604
2020-04-20	NM	854	46	163	19573	17400	594	4028	329287
2020-04-20	NY	45383	3855	11666	192234	1938479	145055	321563	5154896
2020-04-20	GA	4782	214	0	42841	149681	6192	0	759856
2020-04-20	MD	5824	363	346	33579	117683	5626	7664	605744
2020-04-20	KS	1377	25	0	8406	19569	812	0	162803
